Designator,Mid X,Mid Y,Rotation,Layer
BT1,201.6,-22.85,90.0,bottom
C1,175.0,-42.0,0.0,bottom
C2,194.05,-42.0,0.0,bottom
C3,129.0,-22.5,90.0,bottom
C4,145.5,-22.5,270.0,bottom
C5,136.8,-19.9,0.0,bottom
D1,166.0,-45.5,180.0,bottom
D2,175.0,-39.2,0.0,bottom
D3,194.05,-39.23,0.0,bottom
D4,158.0,-39.0,0.0,bottom
D5,154.0,-31.5,90.0,bottom
J1,170.75,-19.83,180.0,top
L1,140.0,-24.3375,90.0,bottom
Q5,170.55,-43.0125,270.0,bottom
R1,169.0,-20.0,270.0,bottom
R10,141.5,-19.5875,90.0,bottom
R11,139.5,-19.5875,270.0,bottom
R2,172.0,-20.0,270.0,bottom
R3,166.0,-47.5,180.0,bottom
R4,170.5,-45.95,0.0,bottom
R5,169.75,-39.95,180.0,bottom
R6,149.3175,-36.23,270.0,bottom
R7,147.8175,-36.23,90.0,bottom
R8,174.5,-29.5,0.0,bottom
R9,174.5,-27.5,180.0,bottom
SW2,175.0,-31.835,0.0,top
SW3,194.05,-31.835,0.0,top
SW_BOOT1,160.1,-27.5,0.0,bottom
SW_RESET1,161.0,-44.0,180.0,bottom
U1,158.0,-33.794,90.0,top
U2,138.8495,-33.0402,0.0,top
U3,132.75,-22.55,0.0,bottom
